code,name,price
01069,寶沙發展,0.01
01070,ＴＣＬ電子s,3.17
01071,華電國際電力股份s,2.36
01072,東方電氣s,4.09
01073,大禹金融,0.3
01075,首都信息,0.38
01076,博華太平洋s,0.057999999999999996
01079,松景科技,0.106
01080,勝利管道,0.057999999999999996
01082,香港教育國際,0.0
01083,港華燃氣s,3.6
01084,綠新親水膠體,1.15
01085,亨鑫科技,2.07
01086,好孩子國際s,0.76
01087,威訊控股,0.15
01088,中國神華s,13.68
01089,樂遊科技控股s,2.19
01090,大明國際,0.0
01091,中信大錳,0.20199999999999999
01093,石藥集團s,16.2
01094,中國公共採購,0.0
01096,中能國際控股,0.0
01097,有線寬頻,0.055999999999999994
01098,路勁基建s,11.42
01099,國藥控股s,19.8
01100,飛達控股,0.71
01101,華榮能源,0.065
01102,環能國際,0.0
01103,大生農業金融,0.011000000000000001
01104,亞太資源,0.83
01105,星島,1.16
01106,銘霖控股,0.0
01107,當代置業,1.07
01108,洛陽玻璃股份,2.28
01109,華潤置地s,31.5
01110,金活醫藥集團,0.76
01111,創興銀行s,10.2
01112,H&H國際控股s,29.8
01113,長實集團s,47.9
01114,華晨中國汽車s,6.89
01115,西藏水資源,0.34
01116,美亞控股,0.0
01117,現代牧業s,0.84
01118,高力集團,0.0
01119,創夢天地s,4.45
